order_id,order_type,cust_id,order_date,delivery_date,tot_units,displayed_selling_price_per_unit,total_amount_paid,product_id,delivery_person_id,payment_type,delivery_pincode
10000000001,buy,10000009,2020-01-01,2020-01-03,2,73500,138180,12349,1000003,cash,500001
10000000002,buy,10000004,2020-01-01,2020-01-04,9,67500,577125,12349,1000005,cash,700001
10000000003,buy,10000012,2020-01-01,2020-01-02,2,60750,119070,12349,1000002,netbanking,400001
10000000004,buy,10000012,2020-01-01,2020-01-03,8,736,5824,12347,1000010,cash,600001
10000000005,buy,10000008,2020-01-01,2020-01-06,1,60750,57105,12349,1000003,debit,500001
10000000006,buy,10000007,2020-01-01,2020-01-06,8,773,6120,12350,1000005,netbanking,700001
10000000007,buy,10000012,2020-01-02,2020-01-07,8,833,6528,12350,1000002,credit,400001
10000000008,buy,10000009,2020-01-02,2020-01-12,4,1012,3924,12348,1000002,credit,400001
10000000009,buy,10000001,2020-01-02,2020-01-07,4,1045,3844,12348,1000006,cash,400001
10000000010,buy,10000007,2020-01-03,2020-01-10,5,756,3475,12350,1000008,debit,110001
10000000011,buy,10000012,2020-01-03,2020-01-09,6,902,5298,12348,1000010,credit,600001
10000000012,buy,10000011,2020-01-03,2020-01-10,7,968,6503,12348,1000009,cash,400001
10000000013,buy,10000003,2020-01-04,2020-01-14,1,1200,1116,12345,1000002,netbanking,400001
10000000014,buy,10000002,2020-01-04,2020-01-06,6,648,3810,12347,1000005,netbanking,700001
10000000015,buy,10000009,2020-01-04,2020-01-06,10,946,8790,12348,1000003,netbanking,500001
10000000016,buy,10000004,2020-01-04,2020-01-07,5,656,3015,12347,1000007,netbanking,700001
10000000017,buy,10000011,2020-01-04,2020-01-06,1,77600,76048,12346,1000003,cash,500001
10000000018,buy,10000012,2020-01-04,2020-01-08,4,1410,5356,12345,1000002,cash,400001
10000000019,buy,10000009,2020-01-05,2020-01-08,3,1275,3672,12345,1000004,netbanking,400001
10000000020,buy,10000011,2020-01-05,2020-01-14,3,760,2052,12347,1000007,debit,700001
10000000021,buy,10000006,2020-01-05,2020-01-08,1,66000,65340,12349,1000002,debit,400001
10000000022,buy,10000003,2020-01-06,2020-01-16,3,73500,209475,12349,1000005,cash,700001
10000000023,buy,10000014,2020-01-06,2020-01-14,8,968,7120,12348,1000001,netbanking,560001
10000000024,buy,10000011,2020-01-06,2020-01-07,9,68250,565110,12349,1000009,cash,400001
10000000025,buy,10000014,2020-01-07,2020-01-16,10,736,7060,12347,1000004,debit,400001
10000000026,buy,10000003,2020-01-07,2020-01-17,8,64800,466560,12346,1000006,cash,400001
10000000027,buy,10000012,2020-01-07,2020-01-12,1,728,684,12347,1000006,cash,400001
10000000028,buy,10000009,2020-01-07,2020-01-14,8,1425,10368,12345,1000008,cash,110001
10000000029,buy,10000006,2020-01-08,2020-01-12,4,1245,4480,12345,1000010,cash,600001
10000000029,return,10000006,2020-01-15,2020-01-24,4,1245,-4480,12345,1000010,cash,600001
10000000030,buy,10000007,2020-01-08,2020-01-13,3,957,2610,12348,1000008,netbanking,110001
10000000031,buy,10000001,2020-01-09,2020-01-12,7,74400,515592,12346,1000001,debit,560001
10000000032,buy,10000005,2020-01-09,2020-01-13,6,1470,8022,12345,1000006,netbanking,400001
10000000033,buy,10000004,2020-01-09,2020-01-18,4,760,2736,12347,1000006,credit,400001
10000000034,buy,10000014,2020-01-09,2020-01-13,4,760,2976,12347,1000001,credit,560001
10000000035,buy,10000010,2020-01-10,2020-01-12,9,1380,12294,12345,1000003,debit,500001
10000000036,buy,10000014,2020-01-10,2020-01-11,10,720,6760,12347,1000002,credit,400001
10000000037,buy,10000012,2020-01-10,2020-01-16,7,946,6020,12348,1000010,netbanking,600001
10000000038,buy,10000009,2020-01-10,2020-01-17,1,76800,73728,12346,1000007,cash,700001
10000000039,buy,10000010,2020-01-11,2020-01-12,6,648,3768,12347,1000006,cash,400001
10000000040,buy,10000002,2020-01-11,2020-01-19,6,1395,7530,12345,1000007,credit,700001
10000000041,buy,10000006,2020-01-11,2020-01-21,6,69600,388368,12346,1000008,netbanking,110001
10000000042,buy,10000004,2020-01-11,2020-01-13,1,891,855,12348,1000001,netbanking,560001
10000000043,buy,10000003,2020-01-12,2020-01-21,3,720,2094,12347,1000003,cash,500001
10000000044,buy,10000005,2020-01-12,2020-01-16,6,824,4548,12350,1000001,netbanking,560001
10000000045,buy,10000012,2020-01-13,2020-01-23,9,61500,536895,12349,1000008,netbanking,110001
